Num,Ambiente,00:26:5a:66:55:ef,00:27:19:ca:71:d2,18:0d:2c:7f:eb:ac,18:0d:2c:7f:f5:9c,18:d6:c7:f9:37:2f,1c:3b:f3:3c:b3:1a,24:36:da:2b:5e:c0,24:36:da:2b:5e:c2,24:36:da:2b:bc:00,24:36:da:2b:bc:02,24:fd:0d:57:19:26,2c:57:41:d4:69:c2,44:d2:44:dd:32:40,48:51:cf:81:b0:9e,4c:e1:75:db:58:80,4c:e1:75:db:58:82,50:c7:bf:ef:56:8a,54:e6:fc:cf:22:de,58:10:8c:91:f3:aa,60:32:b1:2d:66:c3,64:70:02:99:fe:f4,7c:f1:7e:8d:13:22,84:f1:47:54:6b:80,84:f1:47:54:6b:82,84:f1:47:54:71:00,84:f1:47:54:71:02,84:f1:47:54:7f:20,84:f1:47:54:7f:22,84:f1:47:54:8b:a0,84:f1:47:54:8b:a2,84:f1:47:54:95:e0,84:f1:47:54:95:e2,84:f1:47:54:96:e0,84:f1:47:54:96:e2,84:f1:47:54:eb:20,84:f1:47:54:eb:22,84:f1:47:54:f9:80,84:f1:47:54:f9:82,84:f1:47:54:fd:c0,84:f1:47:54:fd:c2,86:5d:e9:c5:47:8c,b8:11:4b:1d:14:80,b8:11:4b:1d:14:82,b8:11:4b:1d:1e:40,b8:11:4b:1d:1e:42,cc:32:e5:0c:fc:2b,d8:0d:17:3e:c3:cb,d8:5d:4c:86:7e:66,da:38:d4:2e:cb:c6,e2:e7:86:8e:b8:de,e4:4e:2d:85:4c:60,e4:4e:2d:85:4c:62,e8:94:f6:b9:2f:46,Total geral
14,Sala telecomunicações,-94,,-75,-72,-80,,,,,,-68,,,-78,,,,-92,-72,-84,-92,-78,,,-90,-91,-74,-74,,,,,-85,-86,,,,,-82,-82,,,,,,-90,-64,-70,,-95,-88,-87,-87,-2130
15,Sala telecomunicações,,,-77,-75,-77,,,,,,-69,,,,,,,,-67,-84,-94,-82,,,,-91,-74,-75,,,,,-85,-85,,,,,-85,-84,,,,,,,-68,-69,-93,,-89,-90,-89,-1702
16,Coordenação elétrica,-82,-90,-82,-90,-77,,,,,,-77,,,-61,,,-96,,-80,-79,,-86,,,,,,,,,-62,-62,,,,,-82,-83,-88,-89,-88,-82,-82,,,-65,-49,,-77,,,,-83,-1892
17,Coordenação elétrica,-81,-95,-81,,-74,,,,,,-80,,-95,-63,,,-94,,-75,-77,,-89,,,,,,,,,-62,-62,,,,,-85,-85,-88,-87,-87,-81,-81,,,-75,-51,-92,-75,,,,-82,-1997
18,Coordenação elétrica,-83,-92,-85,-91,-78,,,,,,-85,,,-67,,,-96,,-83,-81,,-95,,,,,,,,,-65,-65,,,,,-88,,-89,,-91,-87,-87,,,-75,-53,-96,-80,,,,-87,-1899
19,Coordenação elétrica,-80,-89,-83,,-76,,,,,,-79,,,-59,,,-92,,-79,-76,,-89,,,,,,,,,-61,-61,,,,,-85,-84,-86,-86,-91,,-80,,,-66,-50,-90,-75,,,,-80,-1797
20,Coordenação elétrica,-73,-88,-84,-91,-80,,,,,,-83,,,-62,,,-93,,,-86,,-92,,,,,,,,,-64,-64,,,,,,,-89,-89,-90,-86,-87,,,-68,-50,,,,,,-85,-1604
21,Sala professores,-84,,-77,-84,-75,,,,,,-51,,,-56,,,,,-71,-78,,,,,,,-83,-85,,,-87,-87,,,,,,,-60,-60,,,,,,-71,-75,-67,-78,,,,-71,-1400
22,Sala professores,-84,,-76,-85,-73,,,,,,-56,,,-61,,,,,-75,-81,,,,,,,-83,-82,,,-87,-88,,,,,,,-62,-62,,,,,,-62,-78,-66,-82,,-86,,-74,-1503
23,Sala professores,,,-72,-86,-73,,,,,,-52,,,-59,-88,,,,-73,-80,-94,-82,,,,,-82,-82,,,-88,-88,-85,-89,,,,,-63,-63,,,,,,-69,-72,-67,-78,,-85,-85,-69,-1924
24,Sala professores,-86,,-76,-87,-72,,,,,,-58,,,-63,-89,-90,,,-78,-80,,-82,,,,,-82,-83,,,-87,-87,-88,-90,,,,,-63,-63,,,,,,-68,-70,-64,-78,,-85,-84,-71,-2024
25,Sala professores,-86,,-72,-85,-72,,,,,,-59,,,-59,-87,,,,-77,-79,,-82,,,,,-82,-84,,,,,,,,,,,-63,-63,,,,,,-68,-70,-65,-78,,-85,-85,-70,-1571
26,Pet,-70,,-74,-78,-63,,,,,,-76,,,-68,,,,,-65,-78,-94,-80,,,-89,,-84,-85,,,-80,-80,,,,,-85,-84,-77,-77,-88,,,,,-79,-57,-80,,,-89,-88,-87,-2055
27,Pet,-76,-93,-72,-78,-65,,,,,,-68,,,-70,,,,,-63,-78,,-85,,,,-91,-82,-83,,,-79,-79,,-91,,,-85,-84,-79,-79,-93,,,-88,-89,-82,-62,-90,-82,,-87,-89,-85,-2427
28,Pet,-72,-92,-72,-78,-66,,,,,,-78,,,-72,,,,,-63,-77,,-83,,,,,-83,-83,,,-80,-79,-89,-89,,,-84,-83,-79,-80,-95,,,,,-83,-61,-82,,,-88,-89,-83,-2163
29,Pet,-74,,-73,-75,-66,,,,,,-73,,,-69,,,,,-63,-76,,-83,,,,,-83,-85,,,-80,-81,-88,,,,-85,-83,-78,-77,-92,,,,,-79,-62,-82,-94,,-87,-88,-86,-2062
