Num,Ambiente,00:26:5a:66:55:ef,00:27:19:ca:71:d2,06:1e:a2:0a:db:03,06:ad:54:f8:9d:b8,18:0d:2c:7f:eb:ac,18:0d:2c:7f:f5:9c,18:d6:c7:f9:37:2f,24:2f:d0:cc:ed:8c,24:36:da:2b:5e:c0,24:36:da:2b:5e:c2,24:36:da:2b:bc:00,24:36:da:2b:bc:02,24:36:da:a2:7f:40,24:36:da:a2:7f:42,24:fd:0d:57:19:26,2c:57:41:cd:e1:c0,2c:57:41:cd:e1:c2,2c:57:41:d4:a5:20,2c:57:41:d4:a5:22,48:51:cf:81:b0:9e,50:c7:bf:ef:56:8a,54:e6:fc:ba:ad:86,54:e6:fc:cf:22:de,58:10:8c:91:f3:aa,60:32:b1:2d:66:c3,64:70:02:99:fe:f4,6e:ac:d9:fb:2c:71,7c:f1:7e:8d:13:22,84:f1:47:54:6b:80,84:f1:47:54:6b:82,84:f1:47:54:71:00,84:f1:47:54:71:02,84:f1:47:54:7f:20,84:f1:47:54:7f:22,84:f1:47:54:7f:60,84:f1:47:54:7f:62,84:f1:47:54:80:60,84:f1:47:54:80:62,84:f1:47:54:81:00,84:f1:47:54:81:02,84:f1:47:54:8b:a0,84:f1:47:54:8b:a2,84:f1:47:54:95:e0,84:f1:47:54:95:e2,84:f1:47:54:96:e0,84:f1:47:54:96:e2,84:f1:47:54:eb:20,84:f1:47:54:eb:22,84:f1:47:54:f9:80,84:f1:47:54:f9:82,84:f1:47:54:fd:60,84:f1:47:54:fd:62,84:f1:47:54:fd:c0,84:f1:47:54:fd:c2,ae:f6:95:5d:17:2e,b8:11:4b:1d:12:00,b8:11:4b:1d:12:02,b8:11:4b:1d:14:80,b8:11:4b:1d:14:82,b8:11:4b:1d:1e:40,b8:11:4b:1d:1e:42,c4:12:f5:d3:01:90,cc:32:e5:0c:fc:2b,d8:0d:17:3e:c3:cb,d8:36:5f:54:70:40,d8:5d:4c:86:7e:66,e4:4e:2d:85:4c:60,e4:4e:2d:85:4c:62,e8:94:f6:b9:2f:46,Total geral
80,LabQuimica03,,,,,-91,-88,-96,-91,,,-79,-79,-86,-86,,,,,,,-92,,,-87,,,,-70,-86,-85,,,,,,,,,-88,-86,,,,,,,,,,,,,,,-86,,,,,,,,,,,,,,,-1376
81,LabQuimica02,,,,,-85,,,-93,,,-82,-82,,,,,,,,,-90,,,-89,,,,-80,-60,-60,,,,,-88,-90,,,-92,-91,-90,-88,,,,,,,,,,,,,-84,,,,,,,,,,,,,,,-1344
82,LabQuimica02,,,,,-84,,-94,,,,-80,-81,,,,-86,-86,,,,-92,,,-80,,,,-76,-61,-62,,,,,-89,-87,,,,,-87,-88,,,,,,,,,,,,,-87,,,,,,,,,,,,,,,-1320
83,LabQuimica02,,,,,-91,,-93,,,,-79,-79,,,,,,,,,,,,-82,,,,-82,-64,-65,,,,,-87,-90,,,,-91,-90,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1082
84,LabQuimica02,,,,,-87,-91,-94,,,,-81,-80,,,,,,,,,-90,,,-83,,,,-81,-63,-63,,,,,-89,-86,,,-91,-89,-87,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1343
85,LabQuimica02,,,,,-87,-91,-94,,,,-81,-80,,,-93,,-89,,,,-92,,,-81,,,,-79,-70,-70,,,,,,,,,-89,-88,-89,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1363
86,LabQuimica01,-94,,,,-90,,-92,,,,-81,-81,,,,-89,-90,,,,-96,,,-86,,,,-86,-56,-55,,,,,,,,,,,-89,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1173
87,LabQuimica01,-95,,,,,,-90,,,,-82,-83,,,,,,,,,-89,,,-88,,,,-87,-55,-55,,,,,,,,,,,-88,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,-899
88,LabQuimica01,,,,,-87,-91,,,,,-82,-82,,,,-88,-89,,,,-88,,,-81,,,,-85,-55,-55,,,,,,,,,,,-89,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1062
89,LabQuimica01,,,,,-90,-89,-90,,,,-84,-84,-92,-90,,-88,-89,,,,-88,,,-88,,,,-87,-56,-56,,,,,,,,,,,-89,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1348
